log_id,user_id,video_id,watch_date,subscribed,playlist_name,video_title
146642,25,QgiSjNE89Cw,2018-08-09 21:39:27,,,BSG3
146643,25,upQtOfB7enk,2018-08-09 21:38:53,,,BSB3
146644,25,bF8tjRZJk-Q,2018-08-09 21:38:24,,,BSG1
146645,25,m-lhvOU_Iyg,2018-08-09 21:37:50,,,BSB1
146646,25,QmgYLt0EaEI,2018-08-09 21:36:58,,,BCG1
146647,25,-pb0dfXEPCY,2018-08-09 21:36:21,,,BCG2
146648,25,9cNBj9k0YIo,2018-08-09 21:35:42,,,BSB5
146649,25,Cy6DxwW78O8,2018-08-09 21:35:13,,,BCB2
146650,25,XDyzd83FRG0,2018-08-09 21:34:28,,,BCB1
146651,25,fhUEWUUmy_g,2018-08-09 21:33:16,,,BCG3
146652,25,yA5svYa5T5w,2018-08-09 21:31:16,,,BCB3
146653,25,I9_eqxHMuEw,2018-08-01 23:08:42,,,SBL1
146654,25,MbQI2lfcT3w,2018-08-01 23:08:02,,,CGL3
146655,25,BzSuy9f0jnw,2018-08-01 23:06:53,,,SGL1
146656,25,DYH_-k9ZPJY,2018-08-01 22:23:18,,,Rare white lions
146657,25,EKeF85hap84,2018-08-01 22:04:31,,,2018 06 07 16 50 13 2
146658,25,a3-21AMbFFk,2018-07-30 22:14:22,,,E N V O Y  - Proof of Concept Short Film
146659,25,MY0YhB3wzoY,2018-07-30 21:47:03,,,NO-A [ Short Film - Official ]
146660,25,g5TLOmR6CPo,2018-07-30 21:45:55,,,Spectral: Last Mission Against The Ghosts HD Part 2
146661,25,Az1J2TidIFU,2018-07-30 21:43:01,,,Spectral: Last Mission Against The Ghosts HD Part 1
146662,25,6TwZ7PRdXhE,2018-07-29 19:52:02,,,YZKN - Drop It Again
146665,25,CDdnoVGRXNE,2018-07-29 13:00:30,,,Beat Box - Fantastic! - Ball Zee
146666,25,aDwNAr6eu20,2018-07-29 00:59:00,,,World's CRAZIEST Car Audio BASS DEMO EVER!
146668,25,WAd8tUYwKwM,2018-07-29 06:29:50,,,"Canos Tire PRV Audio Equipped Install featuring the 10MR1000 10"" Midrange Woofer"
146669,25,NY3B8fyqh-o,2018-07-29 06:24:38,,,☡CAR AUDIO 2014 SOUNDSTREAM☡
146670,25,fxZ9vze_wwM,2018-07-29 06:23:55,,,HAIR TRICK HERTZ A PUERTA ABIERTA
146671,25,SFgBIUKv27I,2018-07-29 06:23:05,,,Hellboy !! Power bass
146675,25,QZ9LMfQE5v4,2018-07-29 06:17:21,,,Skrillex & Damian Marley - Make It Bun Dem (Laudz Trap Remix)
146678,25,vQ7N6akRjsY,2018-07-29 06:14:44,,,A Day In Life With Arizona's Youngest Millionaire | Ricky Gutierrez 2018
146679,25,XKFKPQHdWRI,2018-07-29 06:13:26,,,Breaking Glass Using Only Megaphones
146681,25,Q_RiJmvmcyQ,2018-07-29 06:11:55,,,"Oru Kal Oru Kannadi - Venaam Machan Video | Udhayanidhi Stalin, Santhanam"
146682,25,UeYP7909Ovg,2018-07-29 06:11:50,,,"Paiya - Yedho Ondru Ennai Video | Karthi, Tamannah | Yuvan Shankar Raja"
